Date,FFR
1889-06-19,11122.26
1889-06-20,11123.34
1889-06-21,11124.42
1889-06-24,11125.49
1889-06-25,11126.57
1889-06-26,11127.65
1889-06-27,11128.73
1889-06-28,11129.8
1889-07-01,11130.88
1889-07-02,11131.96
1889-07-03,11133.04
1889-07-05,11134.11
1889-07-08,11135.19
1889-07-09,11136.27
1889-07-10,11137.34
1889-07-11,11138.42
1889-07-12,11139.5
1889-07-15,11140.57
1889-07-16,11141.65
1889-07-17,11142.73
1889-07-18,11143.8
1889-07-19,11144.88
1889-07-22,11145.96
1889-07-23,11147.03
1889-07-24,11148.11
1889-07-25,11149.18
1889-07-26,11150.26
1889-07-29,11151.34
1889-07-30,11152.41
1889-07-31,11153.49
1889-08-01,11154.56
1889-08-02,11155.64
1889-08-05,11156.71
1889-08-06,11157.79
1889-08-07,11158.87
1889-08-08,11159.94
1889-08-09,11161.02
1889-08-12,11162.09
1889-08-13,11163.17
1889-08-14,11164.25
1889-08-15,11165.32
1889-08-16,11166.4
1889-08-19,11167.48
1889-08-20,11168.55
1889-08-21,11169.63
1889-08-22,11170.71
1889-08-23,11171.79
1889-08-26,11172.86
1889-08-27,11173.94
1889-08-28,11175.02
1889-08-29,11176.09
1889-08-30,11177.17
1889-09-03,11178.25
1889-09-04,11179.33
1889-09-05,11180.41
1889-09-06,11181.48
1889-09-09,11182.56
1889-09-10,11183.64
1889-09-11,11184.72
1889-09-12,11185.8
1889-09-13,11186.88
1889-09-16,11187.96
1889-09-17,11189.03
1889-09-18,11190.11
1889-09-19,11191.19
1889-09-20,11192.27
1889-09-23,11193.35
1889-09-24,11194.43
1889-09-25,11195.51
1889-09-26,11196.59
1889-09-27,11197.67
1889-09-30,11198.75
1889-10-01,11199.83
1889-10-02,11200.91
1889-10-03,11201.99
1889-10-04,11203.07
1889-10-07,11204.15
1889-10-08,11205.23
1889-10-09,11206.31
1889-10-10,11207.39
1889-10-11,11208.47
1889-10-14,11209.55
1889-10-15,11210.63
1889-10-16,11211.71
1889-10-17,11212.79
1889-10-18,11213.88
1889-10-21,11214.96
1889-10-22,11216.04
1889-10-23,11217.12
1889-10-24,11218.2
1889-10-25,11219.28
1889-10-28,11220.37
1889-10-29,11221.45
1889-10-30,11222.53
1889-10-31,11223.61
