Date,UPRO
2013-06-11,45461.4
2013-06-12,44273.46
2013-06-13,46322.84
2013-06-14,45454.46
2013-06-17,46503.46
2013-06-18,47566.36
2013-06-19,45648.97
2013-06-20,42210.19
2013-06-21,42557.54
2013-06-24,40959.72
2013-06-25,42188.31
2013-06-26,43380.55
2013-06-27,44207.58
2013-06-28,43408.35
2013-07-01,44395.22
2013-07-02,44221.48
2013-07-03,44360.47
2013-07-05,45743.48
2013-07-08,46514.91
2013-07-09,47453.13
2013-07-10,47550.42
2013-07-11,49558.91
2013-07-12,49572.81
2013-07-15,50219.14
2013-07-16,49607.56
2013-07-17,49948.1
2013-07-18,50761.22
2013-07-19,51094.81
2013-07-22,51358.91
2013-07-23,51053.11
2013-07-24,50490.18
2013-07-25,50802.92
2013-07-26,50969.72
2013-07-29,50462.38
2013-07-30,50524.93
2013-07-31,50531.88
2013-08-01,52327.77
2013-08-02,52595.97
2013-08-05,52394.42
2013-08-06,51539.6
2013-08-07,50983.62
2013-08-08,51539.6
2013-08-09,51094.81
2013-08-12,50865.47
2013-08-13,51407.55
2013-08-14,50580.53
2013-08-15,48377.45
2013-08-16,47974.36
2013-08-19,47070.89
2013-08-20,47731.12
2013-08-21,46848.5
2013-08-22,48057.76
2013-08-23,48572.04
2013-08-26,48113.36
2013-08-27,45680.93
2013-08-28,46167.42
2013-08-29,46438.46
2013-08-30,45875.53
2013-09-03,46570.5
2013-09-04,47745.02
2013-09-05,47821.46
2013-09-06,47946.56
2013-09-09,49385.17
2013-09-10,50455.43
2013-09-11,50928.02
2013-09-12,50587.48
2013-09-13,50851.57
2013-09-16,51782.84
2013-09-17,52401.37
2013-09-18,54253.49
2013-09-19,54062.37
2013-09-20,52811.41
2013-09-23,52116.43
2013-09-24,51775.89
2013-09-25,51301.54
2013-09-26,51878.66
2013-09-27,51183.33
2013-09-30,50279.4
2013-10-01,51551.86
2013-10-02,51343.26
2013-10-03,49994.31
2013-10-04,51065.12
2013-10-07,49792.67
2013-10-08,48005.67
2013-10-09,48040.43
2013-10-10,51162.47
2013-10-11,52198.51
2013-10-14,52879.94
2013-10-15,51659.63
2013-10-16,53832.54
2013-10-17,54931.17
2013-10-18,55904.63
2013-10-21,56043.7
2013-10-22,56961.53
2013-10-23,56210.58
2013-10-24,56725.12
2013-10-25,57462.17
2013-10-28,57705.54
2013-10-29,58748.53
2013-10-30,57802.88
2013-10-31,57197.95
2013-11-01,57663.82
2013-11-04,58303.52
2013-11-05,57747.26
2013-11-06,58567.75
2013-11-07,56356.59
2013-11-08,58609.47
2013-11-11,58616.42
2013-11-12,58373.06
2013-11-13,59659.42
2013-11-14,60618.98
2013-11-15,61411.65
2013-11-18,60848.43
2013-11-19,60389.52
2013-11-20,59854.11
2013-11-21,61223.91
2013-11-22,62093.08
2013-11-25,62065.26
2013-11-26,61967.92
2013-11-27,62412.93
2013-11-29,62273.86
2013-12-02,61828.85
2013-12-03,61126.57
2013-12-04,60924.99
2013-12-05,60236.54
2013-12-06,62155.66
2013-12-09,62621.53
2013-12-10,62016.59
2013-12-11,59854.11
2013-12-12,59339.57
2013-12-13,59193.55
2013-12-16,60319.98
2013-12-17,59722
2013-12-18,62823.18
2013-12-19,62677.16
2013-12-20,63720.15
2013-12-23,64686.66
2013-12-24,65173.39
2013-12-26,66153.81
2013-12-27,66112.09
2013-12-30,66049.51
2013-12-31,66967.35
2014-01-02,65055.19
2014-01-03,64943.94
2014-01-06,64512.83
2014-01-07,65632.31
2014-01-08,65701.85
2014-01-09,65750.52
2014-01-10,66313.74
2014-01-13,63734.06
